years_of_experience,salary
5,3150
9,3787
4,2991
10,4551
8,3540
8,3881
1,2559
6,3269
3,2767
3,2978
4,2781
3,2632
1,2237
7,3281
8,3940
7,3467
10,4708
1,2328
9,4109
4,3286
7,3952
5,3417
8,3638
6,3289
2,2698
8,3357
3,2669
6,3253
2,2526
4,2922
7,3638
8,3906
2,2793
5,3099
5,3384
7,3819
9,4227
2,2844
2,2753
7,3561
1,2560
5,3256
4,2801
6,3409
10,4553
2,2669
8,3840
2,2841
5,3049
6,3751
2,2748
2,2762
2,2501
1,2389
7,3599
8,3751
3,2825
7,3442
6,3432
6,3335
7,3569
4,2749
2,2669
10,4033
9,3845
9,3632
9,3573
6,3435
6,3665
6,3054
4,3084
6,3588
6,3603
5,3070
8,3417
7,3575
8,3813
2,2644
5,3060
2,2497
1,2479
4,2923
1,2566
6,3483
2,2475
9,4135
8,3661
4,3215
6,3257
4,2781
4,2827
6,3134
7,3397
2,2672
8,3845
4,2884
4,2810
2,2488
7,3661
2,2496
